row_number,level,Nation_fk,Year,Region,Country,wb_code,merge_key,Christians,Muslims,Unaffiliated,Hindus,Buddhists,Folk Religions,Other Religions,Jews,All Religions
191,1,186,2010,Sub-Saharan Africa,Seychelles,SYC,SYC_2010,90000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,90000
192,1,187,2010,Sub-Saharan Africa,Sierra Leone,SLE,SLE_2010,1230000,4580000,         <10000,         <10000,         <10000,50000,         <10000,         <10000,5870000
193,1,188,2010,Asia-Pacific,Singapore,SGP,SGP_2010,920000,730000,830000,260000,1730000,120000,490000,         <10000,5090000
194,1,189,2010,Europe,Slovakia,SVK,SVK_2010,4660000,         <10000,780000,         <10000,         <10000,         <10000,         <10000,         <10000,5460000
195,1,190,2010,Europe,Slovenia,SVN,SVN_2010,1590000,70000,370000,         <10000,         <10000,         <10000,         <10000,         <10000,2030000
196,1,191,2010,Asia-Pacific,Solomon Islands,SLB,SLB_2010,520000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,540000
197,1,192,2010,Sub-Saharan Africa,Somalia,SOM,SOM_2010,         <10000,9310000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,9330000
198,1,193,2010,Sub-Saharan Africa,South Africa,ZAF,ZAF_2010,40710000,860000,7450000,570000,100000,210000,170000,70000,50130000
199,1,194,2010,Asia-Pacific,South Korea,ROK,ROK_2010,14170000,100000,22340000,         <10000,11050000,400000,110000,         <10000,48180000
200,1,195,2010,Europe,Spain,ESP,ESP_2010,36240000,980000,8740000,20000,         <10000,20000,10000,60000,46080000
201,1,196,2010,Asia-Pacific,Sri Lanka,LKA,LKA_2010,1530000,2040000,         <10000,2830000,14450000,         <10000,         <10000,         <10000,20860000
202,1,197,2010,Middle East-North Africa,Sudan,SDN,SDN_2010,1810000,30490000,350000,         <10000,         <10000,950000,         <10000,         <10000,33600000
203,1,198,2010,Latin America-Caribbean,Suriname,SUR,SUR_2010,270000,80000,30000,100000,         <10000,30000,         <10000,         <10000,520000
204,1,199,2010,Sub-Saharan Africa,Swaziland,SWZ,SWZ_2010,1040000,         <10000,120000,         <10000,         <10000,10000,         <10000,         <10000,1190000
205,1,200,2010,Europe,Sweden,SWE,SWE_2010,6310000,430000,2540000,20000,40000,20000,20000,10000,9380000
206,1,201,2010,Europe,Switzerland,CHE,CHE_2010,5570000,380000,1600000,40000,40000,         <10000,10000,20000,7660000
207,1,202,2010,Middle East-North Africa,Syria,SYR,SYR_2010,1060000,18930000,420000,         <10000,         <10000,         <10000,         <10000,         <10000,20410000
208,1,203,2010,Asia-Pacific,Taiwan,TWN,TWN_2010,1280000,10000,2950000,         <10000,4950000,10260000,3760000,         <10000,23220000
209,1,204,2010,Asia-Pacific,Tajikistan,TJK,TJK_2010,110000,6650000,100000,         <10000,         <10000,         <10000,         <10000,         <10000,6880000
210,1,205,2010,Sub-Saharan Africa,Tanzania,TZA,TZA_2010,27540000,15770000,650000,50000,         <10000,800000,30000,         <10000,44840000
211,1,206,2010,Asia-Pacific,Thailand,THA,THA_2010,600000,3770000,190000,70000,64420000,60000,         <10000,         <10000,69120000
212,1,207,2010,Asia-Pacific,Timor-Leste,TLS,TLS_2010,1120000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,1120000
213,1,208,2010,Sub-Saharan Africa,Togo,TGO,TGO_2010,2640000,840000,370000,         <10000,         <10000,2150000,30000,         <10000,6030000
215,1,210,2010,Asia-Pacific,Tonga,TON,TON_2010,100000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,100000
216,1,211,2010,Latin America-Caribbean,Trinidad and Tobago,TTO,TTO_2010,880000,80000,30000,300000,         <10000,30000,20000,         <10000,1340000
217,1,212,2010,Middle East-North Africa,Tunisia,TUN,TUN_2010,20000,10430000,20000,         <10000,         <10000,         <10000,         <10000,         <10000,10480000
218,1,213,2010,Asia-Pacific,Turkey,TUR,TUR_2010,320000,71330000,860000,         <10000,40000,20000,150000,20000,72750000
219,1,214,2010,Asia-Pacific,Turkmenistan,TKM,TKM_2010,320000,4690000,30000,         <10000,         <10000,         <10000,         <10000,         <10000,5040000
220,1,215,2010,Latin America-Caribbean,Turks and Caicos Islands,TCA,TCA_2010,30000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,30000
221,1,216,2010,Asia-Pacific,Tuvalu,TUV,TUV_2010,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000
222,1,217,2010,Sub-Saharan Africa,Uganda,UGA,UGA_2010,28980000,3840000,170000,100000,         <10000,290000,40000,         <10000,33420000
223,1,218,2010,Europe,Ukraine,UKR,UKR_2010,38100000,560000,6690000,10000,20000,         <10000,         <10000,50000,45450000
224,1,219,2010,Middle East-North Africa,United Arab Emirates,ARE,ARE_2010,940000,5780000,90000,490000,150000,         <10000,60000,         <10000,7510000
225,1,220,2010,Europe,United Kingdom,GBR,GBR_2010,39890000,2960000,17220000,890000,280000,60000,460000,290000,62040000
226,1,221,2010,North America,United States,USA,USA_2010,243060000,2770000,50980000,1790000,3570000,630000,1900000,5690000,310380000
227,1,222,2010,Latin America-Caribbean,U.S. Virgin Islands,VIR,VIR_2010,100000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,110000
228,1,223,2010,Latin America-Caribbean,Uruguay,URY,URY_2010,1950000,         <10000,1370000,         <10000,         <10000,30000,         <10000,         <10000,3370000
229,1,224,2010,Asia-Pacific,Uzbekistan,UZB,UZB_2010,630000,26550000,220000,         <10000,10000,10000,         <10000,10000,27450000
230,1,225,2010,Asia-Pacific,Vanuatu,VUT,VUT_2010,220000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,240000
231,1,226,2010,Latin America-Caribbean,Venezuela,VEN,VEN_2010,25890000,90000,2900000,         <10000,         <10000,60000,20000,         <10000,28980000
232,1,227,2010,Asia-Pacific,Vietnam,VNM,VNM_2010,7170000,160000,26040000,         <10000,14380000,39750000,350000,         <10000,87850000
234,1,229,2010,Middle East-North Africa,Western Sahara,PSE,PSE_2010,         <10000,530000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,530000
235,1,230,2010,Middle East-North Africa,Yemen,YEM,YEM_2010,40000,23830000,20000,150000,         <10000,         <10000,         <10000,         <10000,24050000
236,1,231,2010,Sub-Saharan Africa,Zambia,ZMB,ZMB_2010,12770000,70000,70000,10000,         <10000,40000,120000,         <10000,13090000
237,1,232,2010,Sub-Saharan Africa,Zimbabwe,ZWE,ZWE_2010,10930000,110000,990000,         <10000,         <10000,480000,40000,10000,12570000
238,1,237,2010,Sub-Saharan Africa,South Sudan,SSD,SSD_2010,6010000,610000,50000,         <10000,         <10000,3270000,         <10000,         <10000,9950000
